date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:24:58	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Feb%202026%2014:24:56%20GMT	http://wpriverthemes.com/HTML/jayden/home2.html	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/home2.0.delayed	(from )
06:25:00	90431/90431	---M-Z	200	added ('OK')	text/html	etag:%221613f-684af29c-fe69b39368e374c9;gz%22	https://wpriverthemes.com/HTML/jayden/home2.html	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/home2.html	(from )
06:25:02	114/114	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20Feb%202026%2014:25:00%20GMT	https://wpriverthemes.com/robots.txt		(from )
06:25:02	312671/312671	---M-Z	200	added ('OK')	text/css	etag:%224c55f-684af29c-f8dde43120d5e68e;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/bootstrap.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/bootstrap.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:04	13523/13523	---M-Z	200	added ('OK')	text/css	etag:%2234d3-684af29c-765a3a363a290807;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/bootstrap-select.min.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/bootstrap-select.min.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:05	92982/92982	---M-Z	200	added ('OK')	text/css	etag:%2216b36-684af29c-42b37f89e0b1a4a;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/styles.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/styles.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:05	21724/21724	---M-Z	200	added ('OK')	text/css	etag:%2254dc-684af29c-8834372b699cfb86;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/swiper-bundle.min.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/swiper-bundle.min.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:06	3354/3354	---M-Z	200	added ('OK')	text/css	etag:%22d1a-684af29c-233e13bd271eabd6;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/odometer.min.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/odometer.min.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:07	3551/3551	---M-Z	200	added ('OK')	text/css	etag:%22ddf-684af29c-bcfbb0bc27e996a1;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/lightbox.min.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:07	61657/61657	---M-Z	200	added ('OK')	text/css	etag:%22f0d9-684af29c-c05158ec9016f24a;gz%22	https://wpriverthemes.com/HTML/jayden/asset/css/animate.min.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/css/animate.min.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:08	22469/22469	---M-Z	200	added ('OK')	text/css	etag:%2257c5-684af29c-adb8b00a6a44a9fc;gz%22	https://wpriverthemes.com/HTML/jayden/asset/font/fonts.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/font/fonts.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
06:25:09	5605/5605	---M-Z	200	added ('OK')	text/css	etag:%2215e5-684af29e-b38ebaad5a1eb156;gz%22	https://wpriverthemes.com/HTML/jayden/asset/icons/icomoon/style.css	C:/My%20Web%20Sites/personal%20portfolio/wpriverthemes.com/HTML/jayden/asset/icons/icomoon/style.css	(from https://wpriverthemes.com/HTML/jayden/home2.html)
